epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
1,2.5948,0.0771,0.2517,0.4157,1.5874,0.3318,0.3405,0.0000,0.0000,0.0000,595
2,2.3581,0.0682,0.2290,0.3853,3.1394,0.0973,0.0995,0.0000,0.0000,0.0000,244
3,2.3350,0.0654,0.2269,0.3797,3.8886,0.0668,0.0695,0.0000,0.0000,0.0000,246
4,2.3200,0.0651,0.2254,0.3753,4.7305,0.0408,0.0369,0.0000,0.0000,0.0000,245
5,2.3075,0.0654,0.2242,0.3724,4.9425,0.0396,0.0418,0.0000,0.0000,0.0000,244
6,2.3014,0.0634,0.2237,0.3714,5.2872,0.0442,0.0433,0.0000,0.0000,0.0000,242
7,2.2904,0.0658,0.2224,0.3677,5.2952,0.0525,0.0446,0.0000,0.0000,0.0000,248
8,2.2799,0.0708,0.2208,0.3641,6.1395,0.0211,0.0171,0.0000,0.0000,0.0000,252
9,2.2663,0.0741,0.2192,0.3598,6.5762,0.0157,0.0161,0.0000,0.0000,0.0000,246
10,2.2560,0.0720,0.2183,0.3588,6.7512,0.0163,0.0163,0.0000,0.0000,0.0000,251
11,2.2456,0.0701,0.2175,0.3579,6.7227,0.0194,0.0186,0.0000,0.0000,0.0000,248
12,2.2328,0.0670,0.2165,0.3561,7.2480,0.0124,0.0119,0.0000,0.0000,0.0000,248
13,2.2163,0.0684,0.2147,0.3507,6.9851,0.0190,0.0191,0.0000,0.0000,0.0000,246
14,2.1949,0.0713,0.2123,0.3453,7.1410,0.0162,0.0131,0.0000,0.0000,0.0000,250
15,2.1750,0.0671,0.2107,0.3415,7.6909,0.0075,0.0066,0.0000,0.0000,0.0000,246
16,2.1487,0.0668,0.2081,0.3345,7.9071,0.0126,0.0109,0.0000,0.0000,0.0000,248
17,2.1238,0.0711,0.2052,0.3289,8.0724,0.0084,0.0083,0.0000,0.0000,0.0000,252
18,2.1101,0.0694,0.2040,0.3252,8.3648,0.0084,0.0079,0.0000,0.0000,0.0000,243
19,2.0988,0.0681,0.2030,0.3245,8.1677,0.0112,0.0097,0.0000,0.0000,0.0000,243
20,2.0911,0.0667,0.2023,0.3224,8.9622,0.0022,0.0019,0.0000,0.0000,0.0000,242
21,2.0515,0.0672,0.1983,0.3125,8.2835,0.0162,0.0165,0.0000,0.0000,0.0000,243
22,2.0341,0.0671,0.1966,0.3087,8.9328,0.0032,0.0031,0.0000,0.0000,0.0000,244
23,2.0019,0.0681,0.1933,0.3017,8.9672,0.0063,0.0063,0.0000,0.0000,0.0000,244
24,1.9716,0.0684,0.1902,0.2953,9.2550,0.0072,0.0077,0.0000,0.0000,0.0000,244
25,1.9577,0.0669,0.1890,0.2927,9.0784,0.0032,0.0029,0.0000,0.0000,0.0000,247
26,1.9461,0.0661,0.1879,0.2909,9.0396,0.0098,0.0079,0.0000,0.0000,0.0000,245
27,1.9275,0.0646,0.1862,0.2867,9.5805,0.0020,0.0022,0.0000,0.0000,0.0000,245
28,1.9030,0.0669,0.1835,0.2800,9.8670,0.0112,0.0082,0.0000,0.0000,0.0000,243
29,1.8711,0.0687,0.1801,0.2736,9.9041,0.0040,0.0028,0.0000,0.0000,0.0000,243
30,1.8616,0.0680,0.1793,0.2720,10.5793,0.0012,0.0009,0.0000,0.0000,0.0000,243
31,0.3814,0.0168,0.2137,0.3485,2.1270,0.5387,0.5209,0.0000,0.0000,0.0000,627
32,0.3322,0.0117,0.2150,0.3531,1.5476,0.4994,0.4964,0.0000,0.0000,0.0000,250
33,0.3313,0.0117,0.2140,0.3504,1.5551,0.4883,0.4736,0.0000,0.0000,0.0000,249
34,0.3279,0.0115,0.2129,0.3482,1.5837,0.4508,0.4637,0.0000,0.0000,0.0000,250
35,0.3282,0.0115,0.2134,0.3494,1.6773,0.4497,0.4385,0.0000,0.0000,0.0000,249
36,0.3221,0.0110,0.2124,0.3474,1.7169,0.4275,0.4362,0.0000,0.0000,0.0000,248
37,0.3137,0.0102,0.2113,0.3452,1.6794,0.4366,0.4420,0.0000,0.0000,0.0000,248
38,0.2999,0.0090,0.2098,0.3419,1.6962,0.4380,0.4313,0.0000,0.0000,0.0000,248
39,0.2891,0.0080,0.2085,0.3395,1.8219,0.4108,0.3966,0.0000,0.0000,0.0000,247
40,0.2799,0.0072,0.2081,0.3385,1.7590,0.4099,0.4106,0.0000,0.0000,0.0000,250
41,0.2685,0.0061,0.2070,0.3358,1.8733,0.3770,0.3764,0.0000,0.0000,0.0000,249
42,0.2634,0.0058,0.2056,0.3336,1.8428,0.3958,0.3983,0.0000,0.0000,0.0000,249
43,0.2587,0.0054,0.2049,0.3319,1.9355,0.3754,0.3756,0.0000,0.0000,0.0000,247
44,0.2541,0.0050,0.2043,0.3303,1.9162,0.3787,0.3786,0.0000,0.0000,0.0000,247
45,0.2560,0.0052,0.2035,0.3288,1.9123,0.3922,0.3715,0.0000,0.0000,0.0000,246
46,0.2487,0.0047,0.2013,0.3241,2.0425,0.3538,0.3402,0.0000,0.0000,0.0000,248
47,0.2476,0.0045,0.2019,0.3258,2.0844,0.3530,0.3361,0.0000,0.0000,0.0000,247
48,0.2479,0.0048,0.2001,0.3194,2.1682,0.3218,0.3230,0.0000,0.0000,0.0000,249
49,0.2438,0.0043,0.2005,0.3230,2.2697,0.3027,0.2968,0.0000,0.0000,0.0000,248
50,0.2452,0.0046,0.1988,0.3180,2.3851,0.2962,0.2866,0.0000,0.0000,0.0000,245
51,2792.4334,0.0525,0.1858,0.2871,1.4114,0.3947,0.4037,0.2896,99.6049,0.3860,582
52,2631.5893,0.0860,0.1749,0.2644,3.2992,0.0814,0.0823,0.4409,99.6501,0.3668,304
53,2566.7375,0.1149,0.1703,0.2555,4.5126,0.0346,0.0376,0.5090,99.6754,0.3600,304
54,2519.4591,0.1273,0.1671,0.2489,5.2954,0.0239,0.0214,0.5390,99.6858,0.3540,307
55,2500.8485,0.1416,0.1658,0.2466,6.2455,0.0058,0.0056,0.5621,99.6949,0.3515,306
56,2488.1108,0.1674,0.1648,0.2443,6.1597,0.0135,0.0139,0.6133,99.7087,0.3501,306
57,2441.6532,0.2326,0.1612,0.2369,6.8019,0.0075,0.0081,0.7086,99.7335,0.3449,304
58,2408.0569,0.2542,0.1588,0.2309,7.7621,0.0020,0.0019,0.7360,99.7413,0.3407,307
59,2380.3614,0.2587,0.1570,0.2269,7.9245,0.0047,0.0041,0.7402,99.7440,0.3375,304
60,2353.7360,0.2618,0.1552,0.2235,8.3703,0.0016,0.0018,0.7421,99.7455,0.3345,305
61,2352.4526,0.2679,0.1550,0.2235,8.8672,0.0011,0.0009,0.7497,99.7474,0.3342,306
62,2335.4620,0.2615,0.1540,0.2226,8.5778,0.0066,0.0078,0.7387,99.7463,0.3319,304
63,2333.5506,0.2653,0.1538,0.2220,8.8766,0.0012,0.0010,0.7379,99.7477,0.3318,303
64,2306.0289,0.2720,0.1519,0.2185,8.8097,0.0022,0.0021,0.7472,99.7501,0.3285,304
65,2310.1919,0.2708,0.1522,0.2191,8.7373,0.0030,0.0033,0.7422,99.7494,0.3289,305
66,2294.8266,0.2741,0.1512,0.2175,9.5944,0.0011,0.0013,0.7527,99.7510,0.3271,304
67,2287.8707,0.2711,0.1507,0.2171,9.9131,0.0013,0.0013,0.7404,99.7498,0.3261,305
68,2273.9142,0.2677,0.1498,0.2147,10.2390,0.0008,0.0007,0.7382,99.7489,0.3247,305
69,2287.7774,0.2671,0.1507,0.2176,10.7945,0.0001,0.0001,0.7419,99.7490,0.3260,307
70,2283.8953,0.2749,0.1504,0.2160,9.6250,0.0057,0.0049,0.7454,99.7513,0.3253,306
71,2282.6074,0.2801,0.1503,0.2175,9.3408,0.0032,0.0036,0.7530,99.7530,0.3251,305
72,2270.0955,0.2758,0.1495,0.2156,10.4949,0.0008,0.0010,0.7454,99.7520,0.3239,307
73,2254.4791,0.2741,0.1485,0.2138,10.1810,0.0010,0.0009,0.7486,99.7521,0.3224,306
74,2253.4457,0.2706,0.1484,0.2133,10.7241,0.0003,0.0003,0.7460,99.7514,0.3225,308
75,2229.5689,0.2749,0.1468,0.2098,10.8591,0.0009,0.0010,0.7507,99.7520,0.3204,304
76,2212.2267,0.2811,0.1456,0.2064,10.2794,0.0099,0.0123,0.7545,99.7540,0.3187,305
77,2185.8253,0.2804,0.1439,0.2041,10.5718,0.0011,0.0011,0.7511,99.7536,0.3157,305
78,2167.6560,0.2846,0.1426,0.2017,11.5119,0.0004,0.0004,0.7584,99.7557,0.3141,306
79,2149.9453,0.2863,0.1414,0.1990,11.4729,0.0029,0.0016,0.7653,99.7559,0.3128,307
