epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
1,2.6135,0.0662,0.2547,0.4304,1.6989,0.3134,0.3173,0.0000,0.0000,0.0000,640
2,2.4083,0.0589,0.2349,0.4029,3.2908,0.0782,0.0792,0.0000,0.0000,0.0000,348
3,2.3870,0.0594,0.2327,0.3956,3.9619,0.0591,0.0578,0.0000,0.0000,0.0000,347
4,2.3755,0.0639,0.2311,0.3920,4.6325,0.0426,0.0416,0.0000,0.0000,0.0000,348
5,2.3528,0.0648,0.2287,0.3842,4.9328,0.0380,0.0360,0.0000,0.0000,0.0000,349
6,2.3366,0.0669,0.2269,0.3794,5.4128,0.0251,0.0231,0.0000,0.0000,0.0000,350
7,2.3253,0.0670,0.2258,0.3758,5.6056,0.0304,0.0304,0.0000,0.0000,0.0000,348
8,2.3136,0.0654,0.2248,0.3730,5.8966,0.0248,0.0278,0.0000,0.0000,0.0000,347
9,2.3039,0.0643,0.2239,0.3710,6.0555,0.0227,0.0231,0.0000,0.0000,0.0000,351
10,2.2919,0.0610,0.2230,0.3674,6.5250,0.0157,0.0152,0.0000,0.0000,0.0000,348
11,2.2807,0.0597,0.2220,0.3656,6.5929,0.0177,0.0168,0.0000,0.0000,0.0000,348
12,2.2688,0.0596,0.2209,0.3620,7.2739,0.0091,0.0095,0.0000,0.0000,0.0000,349
13,2.2514,0.0623,0.2188,0.3577,7.4273,0.0123,0.0125,0.0000,0.0000,0.0000,352
14,2.2249,0.0591,0.2165,0.3501,7.3503,0.0100,0.0102,0.0000,0.0000,0.0000,347
15,2.2111,0.0595,0.2151,0.3490,7.4483,0.0085,0.0089,0.0000,0.0000,0.0000,348
16,2.1995,0.0620,0.2137,0.3436,7.7190,0.0083,0.0115,0.0000,0.0000,0.0000,347
17,2.1681,0.0635,0.2104,0.3354,7.8632,0.0063,0.0048,0.0000,0.0000,0.0000,348
18,2.1378,0.0661,0.2071,0.3283,7.7146,0.0092,0.0087,0.0000,0.0000,0.0000,346
19,2.1099,0.0656,0.2044,0.3219,7.4773,0.0158,0.0120,0.0000,0.0000,0.0000,346
20,2.0823,0.0671,0.2014,0.3158,8.4904,0.0024,0.0029,0.0000,0.0000,0.0000,346
21,2.0504,0.0647,0.1985,0.3089,8.1979,0.0090,0.0101,0.0000,0.0000,0.0000,344
22,2.0257,0.0634,0.1961,0.3034,8.8119,0.0015,0.0011,0.0000,0.0000,0.0000,342
23,1.9923,0.0650,0.1926,0.2958,8.9703,0.0017,0.0018,0.0000,0.0000,0.0000,343
24,1.9317,0.0672,0.1864,0.2813,8.3770,0.0089,0.0094,0.0000,0.0000,0.0000,344
25,1.8814,0.0673,0.1813,0.2699,8.4339,0.0102,0.0073,0.0000,0.0000,0.0000,343
26,1.8408,0.0671,0.1773,0.2620,8.5841,0.0039,0.0034,0.0000,0.0000,0.0000,343
27,1.8125,0.0652,0.1746,0.2577,8.9634,0.0078,0.0076,0.0000,0.0000,0.0000,344
28,1.7975,0.0646,0.1732,0.2549,8.6155,0.0141,0.0094,0.0000,0.0000,0.0000,343
29,1.7644,0.0613,0.1702,0.2485,8.1806,0.0090,0.0089,0.0000,0.0000,0.0000,342
30,1.7312,0.0644,0.1666,0.2403,8.0245,0.0112,0.0106,0.0000,0.0000,0.0000,342
31,0.3603,0.0159,0.2009,0.3107,1.9511,0.4975,0.4887,0.0000,0.0000,0.0000,495
32,0.3275,0.0126,0.2011,0.3106,1.7117,0.4538,0.4306,0.0000,0.0000,0.0000,187
33,0.3190,0.0119,0.1997,0.3075,1.8450,0.3889,0.3878,0.0000,0.0000,0.0000,186
34,0.3103,0.0111,0.1990,0.3053,2.8899,0.1941,0.2110,0.0000,0.0000,0.0000,185
35,0.3014,0.0105,0.1962,0.3001,3.9179,0.0905,0.0985,0.0000,0.0000,0.0000,186
36,0.2884,0.0092,0.1956,0.2991,4.3101,0.0574,0.0601,0.0000,0.0000,0.0000,186
37,0.2757,0.0082,0.1932,0.2927,4.7256,0.0473,0.0517,0.0000,0.0000,0.0000,187
38,0.2727,0.0082,0.1906,0.2870,5.0390,0.0454,0.0572,0.0000,0.0000,0.0000,186
39,0.2538,0.0066,0.1870,0.2801,5.3845,0.0403,0.0430,0.0000,0.0000,0.0000,185
40,0.2454,0.0060,0.1849,0.2756,5.0791,0.0579,0.0737,0.0000,0.0000,0.0000,185
41,0.2380,0.0056,0.1819,0.2704,5.2239,0.0596,0.0750,0.0000,0.0000,0.0000,186
42,0.2331,0.0054,0.1790,0.2649,5.5818,0.0561,0.0507,0.0000,0.0000,0.0000,186
43,0.2282,0.0051,0.1764,0.2599,5.4660,0.0505,0.0551,0.0000,0.0000,0.0000,186
44,0.2255,0.0049,0.1756,0.2593,5.8177,0.0503,0.0453,0.0000,0.0000,0.0000,186
45,0.2211,0.0048,0.1729,0.2536,5.9636,0.0428,0.0575,0.0000,0.0000,0.0000,186
46,0.2183,0.0046,0.1718,0.2515,6.1404,0.0427,0.0587,0.0000,0.0000,0.0000,186
47,0.2155,0.0045,0.1698,0.2475,5.5871,0.0596,0.0843,0.0000,0.0000,0.0000,187
48,0.2136,0.0045,0.1684,0.2441,6.0551,0.0521,0.0744,0.0000,0.0000,0.0000,187
49,0.2088,0.0041,0.1673,0.2417,5.9175,0.0558,0.0548,0.0000,0.0000,0.0000,186
50,0.2075,0.0041,0.1663,0.2407,5.6896,0.0737,0.0790,0.0000,0.0000,0.0000,185
51,2420.2677,0.0139,0.1604,0.2313,0.8399,0.6085,0.6031,0.1404,99.4885,0.3433,304
52,2339.8158,0.0171,0.1548,0.2209,1.5427,0.3405,0.3331,0.1747,99.5177,0.3340,239
53,2240.3864,0.0251,0.1477,0.2074,2.7398,0.1355,0.1338,0.2077,99.5529,0.3244,240
54,2166.8890,0.0308,0.1424,0.1965,3.6804,0.0798,0.0794,0.2259,99.5723,0.3165,237
55,2123.8526,0.0332,0.1394,0.1903,4.3619,0.0577,0.0491,0.2312,99.5792,0.3120,238
56,2103.4821,0.0337,0.1380,0.1886,4.7329,0.0449,0.0391,0.2333,99.5812,0.3096,237
57,2076.9084,0.0347,0.1361,0.1844,5.4492,0.0324,0.0337,0.2347,99.5840,0.3074,238
58,2026.6459,0.0380,0.1326,0.1765,5.6047,0.0308,0.0261,0.2494,99.5918,0.3027,238
59,2010.7332,0.0379,0.1315,0.1756,5.8929,0.0227,0.0213,0.2441,99.5917,0.3005,238
60,1992.6490,0.0384,0.1303,0.1727,6.1860,0.0235,0.0237,0.2432,99.5931,0.2985,238
61,1969.5300,0.0389,0.1287,0.1707,6.3094,0.0233,0.0244,0.2459,99.5944,0.2963,238
62,1948.0602,0.0410,0.1271,0.1674,6.2647,0.0264,0.0201,0.2604,99.5987,0.2941,237
63,1918.9959,0.0428,0.1251,0.1638,7.1505,0.0068,0.0058,0.2699,99.6020,0.2910,238
64,1894.8294,0.0425,0.1235,0.1597,7.9838,0.0041,0.0043,0.2672,99.6019,0.2883,238
65,1889.6118,0.0424,0.1231,0.1591,7.9320,0.0084,0.0070,0.2688,99.6019,0.2879,238
66,1879.4055,0.0416,0.1225,0.1591,8.0998,0.0071,0.0067,0.2647,99.5999,0.2866,237
67,1873.1731,0.0422,0.1221,0.1577,8.4342,0.0055,0.0040,0.2673,99.6011,0.2859,239
68,1868.5069,0.0412,0.1218,0.1572,8.3887,0.0058,0.0044,0.2650,99.5990,0.2854,239
69,1864.1752,0.0413,0.1215,0.1565,9.3003,0.0008,0.0011,0.2640,99.5993,0.2849,238
70,1856.5261,0.0413,0.1210,0.1556,9.2545,0.0049,0.0053,0.2652,99.5993,0.2842,237
71,1839.9418,0.0418,0.1199,0.1539,9.4704,0.0017,0.0019,0.2688,99.6006,0.2827,237
72,1815.5988,0.0450,0.1180,0.1509,10.0523,0.0005,0.0007,0.2806,99.6072,0.2802,236
73,1776.1099,0.0462,0.1153,0.1451,9.8466,0.0026,0.0015,0.2868,99.6094,0.2763,237
74,1769.5054,0.0457,0.1149,0.1446,10.4581,0.0004,0.0003,0.2891,99.6090,0.2754,237
75,1758.0236,0.0455,0.1142,0.1429,10.7472,0.0001,0.0001,0.2877,99.6083,0.2744,238
76,1731.7845,0.0460,0.1124,0.1397,11.0487,0.0001,0.0001,0.2908,99.6095,0.2719,237
77,1702.3905,0.0458,0.1104,0.1356,11.3215,0.0001,0.0001,0.2886,99.6091,0.2689,237
78,1688.1792,0.0463,0.1095,0.1332,11.4913,0.0000,0.0000,0.2881,99.6103,0.2673,238
79,1671.5195,0.0459,0.1084,0.1324,10.9919,0.0010,0.0007,0.2857,99.6096,0.2656,239
80,1663.5495,0.0462,0.1078,0.1318,10.4504,0.0021,0.0023,0.2873,99.6100,0.2644,237
81,1657.7995,0.0456,0.1075,0.1312,10.6943,0.0003,0.0002,0.2841,99.6088,0.2641,238
82,1647.7698,0.0453,0.1068,0.1301,10.5400,0.0002,0.0002,0.2839,99.6087,0.2627,237
83,1645.3945,0.0454,0.1067,0.1294,11.3174,0.0001,0.0001,0.2829,99.6084,0.2625,236
84,1640.3019,0.0454,0.1063,0.1296,11.8971,0.0001,0.0001,0.2828,99.6086,0.2619,237
85,1637.4252,0.0458,0.1061,0.1288,12.4776,0.0000,0.0000,0.2854,99.6091,0.2613,238
86,1623.3417,0.0466,0.1051,0.1272,12.5839,0.0000,0.0000,0.2883,99.6109,0.2600,237
87,1588.1463,0.0499,0.1026,0.1225,12.8284,0.0000,0.0000,0.3026,99.6166,0.2564,239
88,1548.0776,0.0507,0.0998,0.1176,13.1273,0.0000,0.0000,0.3021,99.6180,0.2522,237
89,1533.2180,0.0513,0.0988,0.1160,13.4868,0.0000,0.0000,0.3008,99.6192,0.2505,238
90,1516.0358,0.0520,0.0976,0.1142,12.2702,0.0016,0.0015,0.3004,99.6203,0.2481,238
91,1499.1754,0.0525,0.0964,0.1124,10.1961,0.0009,0.0009,0.3011,99.6212,0.2462,237
92,1468.9178,0.0533,0.0944,0.1088,10.6937,0.0001,0.0001,0.2998,99.6229,0.2429,237
93,1458.0927,0.0535,0.0936,0.1078,11.0619,0.0001,0.0002,0.2989,99.6231,0.2415,237
94,1441.5747,0.0545,0.0925,0.1056,11.6863,0.0001,0.0001,0.2998,99.6246,0.2400,239
95,1426.8675,0.0547,0.0915,0.1033,11.8355,0.0000,0.0000,0.3007,99.6251,0.2385,237
96,1398.1933,0.0555,0.0895,0.0997,12.1923,0.0000,0.0000,0.3021,99.6265,0.2356,238
97,1367.5531,0.0553,0.0875,0.0960,12.4384,0.0000,0.0000,0.2986,99.6261,0.2322,237
98,1365.2158,0.0573,0.0872,0.0965,12.7780,0.0000,0.0000,0.3036,99.6294,0.2317,238
99,1351.0003,0.0561,0.0863,0.0944,12.9802,0.0000,0.0000,0.3000,99.6278,0.2301,237
100,1343.3823,0.0559,0.0858,0.0938,12.9152,0.0000,0.0000,0.2980,99.6273,0.2292,237
101,0.0763,0.0568,0.0931,0.1060,13.3699,0.0000,0.0000,0.2899,99.6288,0.2405,297
102,0.0765,0.0564,0.0939,0.1075,13.5255,0.0001,0.0001,0.2892,99.6280,0.2417,234
103,0.0759,0.0562,0.0932,0.1064,11.3675,0.0028,0.0016,0.2897,99.6279,0.2404,234
104,0.0754,0.0555,0.0929,0.1057,12.1870,0.0001,0.0001,0.2881,99.6268,0.2400,234
105,0.0751,0.0556,0.0922,0.1046,12.1855,0.0001,0.0001,0.2873,99.6270,0.2388,235
106,0.0745,0.0549,0.0916,0.1034,12.6743,0.0000,0.0000,0.2861,99.6258,0.2383,235
107,0.0737,0.0543,0.0905,0.1020,13.0472,0.0000,0.0000,0.2847,99.6250,0.2366,233
108,0.0730,0.0537,0.0895,0.1001,13.3395,0.0000,0.0000,0.2839,99.6238,0.2352,235
109,0.0720,0.0525,0.0889,0.0993,13.5205,0.0000,0.0000,0.2826,99.6220,0.2340,234
110,0.0714,0.0519,0.0881,0.0976,13.8701,0.0000,0.0000,0.2808,99.6209,0.2328,233
111,0.0701,0.0504,0.0870,0.0965,14.2397,0.0000,0.0000,0.2775,99.6187,0.2311,298
112,0.0691,0.0492,0.0861,0.0941,14.6168,0.0000,0.0000,0.2734,99.6164,0.2296,234
113,0.0680,0.0474,0.0857,0.0934,14.3234,0.0000,0.0000,0.2668,99.6136,0.2287,235
114,0.0669,0.0452,0.0858,0.0939,13.6856,0.0002,0.0003,0.2597,99.6093,0.2290,234
115,0.0662,0.0435,0.0860,0.0950,14.5449,0.0000,0.0000,0.2550,99.6059,0.2293,235
116,0.0653,0.0415,0.0861,0.0942,15.0712,0.0000,0.0000,0.2478,99.6019,0.2297,236
117,0.0639,0.0390,0.0859,0.0939,15.0268,0.0000,0.0000,0.2396,99.5966,0.2290,235
118,0.0633,0.0363,0.0874,0.0970,14.3033,0.0005,0.0005,0.2296,99.5905,0.2315,235
119,0.0619,0.0344,0.0870,0.0961,11.6581,0.0011,0.0016,0.2216,99.5855,0.2310,234
120,0.0607,0.0321,0.0869,0.0959,12.1918,0.0003,0.0005,0.2137,99.5796,0.2313,234
121,5.9049,0.0204,0.0976,0.1145,11.6364,0.0026,0.0029,0.1739,99.5379,0.2474,294
122,5.5810,0.0160,0.0956,0.1106,10.3341,0.0079,0.0055,0.1547,99.5173,0.2450,234
123,5.4716,0.0145,0.0949,0.1091,10.1336,0.0013,0.0026,0.1447,99.5091,0.2433,234
124,5.4088,0.0141,0.0941,0.1081,10.9227,0.0004,0.0005,0.1429,99.5063,0.2422,233
125,5.3381,0.0130,0.0937,0.1077,11.4161,0.0006,0.0006,0.1362,99.4997,0.2414,233
126,5.3182,0.0128,0.0935,0.1072,11.7577,0.0001,0.0001,0.1364,99.4981,0.2408,233
127,5.2640,0.0124,0.0929,0.1061,11.6350,0.0001,0.0001,0.1312,99.4954,0.2399,233
128,5.2211,0.0122,0.0922,0.1049,11.3495,0.0006,0.0007,0.1331,99.4938,0.2387,234
129,5.2520,0.0121,0.0929,0.1062,11.0890,0.0009,0.0022,0.1313,99.4930,0.2396,234
130,5.2389,0.0119,0.0929,0.1062,11.6757,0.0033,0.0033,0.1294,99.4911,0.2398,233
131,5.1846,0.0115,0.0922,0.1055,11.2613,0.0002,0.0001,0.1263,99.4883,0.2387,233
132,0.0530,0.0117,0.0919,0.1051,11.4933,0.0001,0.0003,0.1311,99.4904,0.2378,296
133,0.0514,0.0111,0.0892,0.1001,11.7391,0.0001,0.0001,0.1244,99.4856,0.2343,233
134,0.0513,0.0110,0.0892,0.1004,11.5777,0.0008,0.0010,0.1238,99.4843,0.2341,233
135,0.0505,0.0106,0.0882,0.0974,11.1940,0.0028,0.0039,0.1197,99.4818,0.2324,233
136,0.0503,0.0105,0.0878,0.0972,11.1568,0.0002,0.0003,0.1198,99.4811,0.2316,233
137,0.0506,0.0105,0.0884,0.0991,11.3997,0.0001,0.0002,0.1185,99.4810,0.2323,233
138,0.0506,0.0103,0.0886,0.0988,10.9788,0.0012,0.0011,0.1189,99.4794,0.2330,232
139,0.0505,0.0102,0.0889,0.0992,10.2382,0.0034,0.0039,0.1175,99.4781,0.2333,233
140,0.0505,0.0102,0.0886,0.0988,10.6506,0.0027,0.0044,0.1177,99.4781,0.2331,232
141,0.0504,0.0100,0.0889,0.0994,9.9450,0.0077,0.0063,0.1153,99.4767,0.2333,233
142,0.0503,0.0101,0.0884,0.0985,10.4115,0.0002,0.0003,0.1173,99.4767,0.2329,233
143,0.0509,0.0100,0.0898,0.1006,9.9128,0.0036,0.0028,0.1163,99.4767,0.2350,233
144,0.0508,0.0100,0.0896,0.1002,10.0152,0.0010,0.0010,0.1171,99.4759,0.2347,233
145,0.0515,0.0104,0.0905,0.1021,10.4984,0.0026,0.0037,0.1201,99.4785,0.2359,234
146,0.0519,0.0102,0.0915,0.1034,10.9191,0.0005,0.0006,0.1200,99.4780,0.2373,232
147,0.0519,0.0105,0.0912,0.1031,10.8064,0.0023,0.0026,0.1225,99.4795,0.2367,233
148,0.0520,0.0104,0.0916,0.1037,10.1580,0.0142,0.0073,0.1228,99.4795,0.2374,234
149,0.0516,0.0104,0.0908,0.1022,10.3834,0.0062,0.0055,0.1234,99.4793,0.2364,234
150,0.0517,0.0103,0.0911,0.1029,9.8809,0.0005,0.0009,0.1204,99.4783,0.2367,234
151,0.0601,0.0117,0.0905,0.1023,11.5531,0.0001,0.0001,0.1315,99.4900,0.2356,299
152,0.0593,0.0120,0.0890,0.0999,11.5221,0.0001,0.0000,0.1308,99.4929,0.2328,235
153,0.0597,0.0123,0.0894,0.1006,11.4853,0.0000,0.0000,0.1327,99.4947,0.2335,234
150,0.0517,0.0104,0.0909,0.1024,10.4134,0.0059,0.0030,0.1211,99.4789,0.2362,638
151,0.0519,0.0102,0.0914,0.1042,11.0493,0.0005,0.0007,0.1197,99.4778,0.2367,241
152,0.0518,0.0100,0.0915,0.1037,10.8727,0.0010,0.0008,0.1191,99.4762,0.2372,241
153,0.0514,0.0103,0.0905,0.1022,10.3793,0.0022,0.0035,0.1210,99.4777,0.2356,238
154,0.0515,0.0099,0.0911,0.1031,10.0367,0.0228,0.0167,0.1182,99.4757,0.2362,238
155,0.0508,0.0098,0.0901,0.1019,9.0013,0.0079,0.0074,0.1175,99.4743,0.2349,238
156,0.0514,0.0101,0.0906,0.1025,10.2503,0.0002,0.0004,0.1190,99.4762,0.2355,238
157,0.0509,0.0098,0.0898,0.1015,10.5747,0.0001,0.0001,0.1162,99.4744,0.2340,239
158,0.0504,0.0099,0.0891,0.0998,9.4730,0.0118,0.0029,0.1186,99.4751,0.2328,240
159,0.0508,0.0098,0.0899,0.1015,9.8534,0.0013,0.0014,0.1183,99.4746,0.2344,238
160,0.0506,0.0097,0.0895,0.1000,9.7644,0.0017,0.0018,0.1181,99.4731,0.2338,239
161,0.0505,0.0095,0.0896,0.1008,9.5068,0.0072,0.0188,0.1165,99.4714,0.2337,239
162,0.0507,0.0095,0.0900,0.1024,9.8091,0.0025,0.0026,0.1151,99.4712,0.2342,238
163,0.0504,0.0093,0.0897,0.1013,9.2668,0.0110,0.0110,0.1148,99.4695,0.2341,240
164,0.0506,0.0094,0.0897,0.1014,10.1104,0.0003,0.0003,0.1145,99.4703,0.2337,239
165,0.0500,0.0094,0.0887,0.0994,9.9690,0.0068,0.0101,0.1139,99.4703,0.2322,239
166,0.0501,0.0095,0.0887,0.0992,9.7911,0.0035,0.0034,0.1161,99.4710,0.2321,240
167,0.0498,0.0092,0.0884,0.0988,10.6100,0.0016,0.0024,0.1139,99.4686,0.2314,238
168,0.0502,0.0091,0.0893,0.1008,9.7515,0.0054,0.0052,0.1126,99.4678,0.2332,240
169,0.0500,0.0090,0.0888,0.0995,11.0900,0.0006,0.0008,0.1125,99.4677,0.2320,241
170,0.0502,0.0090,0.0892,0.1002,10.7055,0.0009,0.0011,0.1124,99.4673,0.2327,239
171,0.0495,0.0086,0.0885,0.0987,9.8192,0.0147,0.0188,0.1089,99.4634,0.2315,241
172,0.0496,0.0087,0.0886,0.0995,9.5768,0.0051,0.0070,0.1097,99.4635,0.2314,239
173,0.0494,0.0086,0.0882,0.0989,10.2027,0.0079,0.0034,0.1097,99.4632,0.2311,239
174,0.0494,0.0086,0.0883,0.0991,9.5840,0.0034,0.0035,0.1089,99.4630,0.2312,240
175,0.0497,0.0086,0.0888,0.1001,9.7958,0.0039,0.0067,0.1100,99.4633,0.2320,239
176,0.0496,0.0086,0.0886,0.1002,9.7558,0.0053,0.0067,0.1106,99.4635,0.2313,239
177,0.0491,0.0084,0.0878,0.0987,9.9938,0.0057,0.0067,0.1081,99.4615,0.2304,239
178,0.0491,0.0085,0.0875,0.0981,10.6399,0.0004,0.0003,0.1082,99.4616,0.2294,240
179,0.0490,0.0084,0.0875,0.0981,10.0574,0.0011,0.0017,0.1062,99.4608,0.2296,240
180,0.0487,0.0085,0.0870,0.0972,9.4023,0.0044,0.0036,0.1084,99.4618,0.2288,240
181,0.0490,0.0085,0.0875,0.0979,9.6252,0.0023,0.0021,0.1079,99.4617,0.2297,240
182,0.0486,0.0082,0.0870,0.0974,9.8005,0.0021,0.0018,0.1064,99.4589,0.2287,241
183,0.0487,0.0083,0.0869,0.0980,10.7332,0.0006,0.0008,0.1073,99.4592,0.2287,240
184,0.0491,0.0085,0.0874,0.0984,10.8326,0.0001,0.0001,0.1091,99.4609,0.2292,242
185,0.0488,0.0081,0.0874,0.0976,11.1477,0.0001,0.0001,0.1044,99.4572,0.2292,239
186,0.0487,0.0082,0.0870,0.0969,11.3538,0.0001,0.0001,0.1076,99.4585,0.2285,239
187,0.0484,0.0080,0.0869,0.0976,9.5871,0.0067,0.0102,0.1043,99.4570,0.2282,239
188,0.0484,0.0081,0.0867,0.0977,9.9158,0.0011,0.0017,0.1065,99.4575,0.2278,239
189,0.0484,0.0080,0.0866,0.0964,10.7069,0.0003,0.0002,0.1045,99.4564,0.2279,238
190,0.0484,0.0080,0.0868,0.0967,10.3164,0.0004,0.0004,0.1059,99.4565,0.2281,240
191,0.0483,0.0078,0.0867,0.0971,10.1472,0.0040,0.0048,0.1040,99.4546,0.2279,240
