epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
1,2.5774,0.0755,0.2502,0.4255,1.6779,0.3243,0.3267,0.0000,0.0000,0.0000,322
2,2.3852,0.0736,0.2311,0.3912,3.1280,0.0990,0.0960,0.0000,0.0000,0.0000,181
3,2.3590,0.0742,0.2284,0.3827,4.1083,0.0500,0.0468,0.0000,0.0000,0.0000,182
4,2.3349,0.0739,0.2260,0.3757,4.4056,0.0568,0.0506,0.0000,0.0000,0.0000,181
5,2.3257,0.0734,0.2252,0.3739,5.1061,0.0287,0.0311,0.0000,0.0000,0.0000,181
6,2.3111,0.0722,0.2238,0.3703,4.9730,0.0517,0.0436,0.0000,0.0000,0.0000,182
7,2.3044,0.0703,0.2234,0.3691,5.5347,0.0293,0.0269,0.0000,0.0000,0.0000,183
8,2.2990,0.0702,0.2228,0.3682,5.6183,0.0308,0.0280,0.0000,0.0000,0.0000,184
9,2.2819,0.0715,0.2210,0.3641,6.0967,0.0203,0.0200,0.0000,0.0000,0.0000,191
10,2.2730,0.0689,0.2203,0.3618,6.4544,0.0217,0.0180,0.0000,0.0000,0.0000,192
11,2.2603,0.0665,0.2193,0.3596,5.9289,0.0250,0.0251,0.0000,0.0000,0.0000,192
12,2.2549,0.0662,0.2188,0.3587,6.3003,0.0281,0.0266,0.0000,0.0000,0.0000,192
13,2.2424,0.0658,0.2176,0.3543,6.7364,0.0197,0.0216,0.0000,0.0000,0.0000,192
14,2.2223,0.0662,0.2155,0.3499,6.9703,0.0191,0.0161,0.0000,0.0000,0.0000,191
15,2.2072,0.0677,0.2139,0.3452,7.3999,0.0093,0.0088,0.0000,0.0000,0.0000,192
16,2.1927,0.0710,0.2121,0.3419,6.8212,0.0235,0.0174,0.0000,0.0000,0.0000,194
17,2.1662,0.0696,0.2096,0.3353,7.4406,0.0144,0.0146,0.0000,0.0000,0.0000,192
18,2.1407,0.0685,0.2071,0.3297,7.2809,0.0234,0.0217,0.0000,0.0000,0.0000,192
19,2.1220,0.0678,0.2053,0.3248,7.6058,0.0113,0.0112,0.0000,0.0000,0.0000,192
20,2.1017,0.0704,0.2030,0.3188,7.8957,0.0120,0.0127,0.0000,0.0000,0.0000,192
21,2.0711,0.0722,0.1998,0.3129,7.6413,0.0134,0.0112,0.0000,0.0000,0.0000,192
22,2.0391,0.0694,0.1969,0.3057,7.5523,0.0166,0.0148,0.0000,0.0000,0.0000,190
23,2.0106,0.0682,0.1942,0.2995,7.7732,0.0159,0.0178,0.0000,0.0000,0.0000,182
24,1.9700,0.0724,0.1897,0.2901,7.4317,0.0214,0.0155,0.0000,0.0000,0.0000,182
25,1.9412,0.0688,0.1872,0.2854,7.6340,0.0143,0.0115,0.0000,0.0000,0.0000,182
26,1.9179,0.0695,0.1848,0.2793,8.1819,0.0058,0.0058,0.0000,0.0000,0.0000,181
27,1.8568,0.0696,0.1786,0.2664,8.0451,0.0141,0.0101,0.0000,0.0000,0.0000,185
28,1.7864,0.0762,0.1709,0.2497,8.8075,0.0023,0.0029,0.0000,0.0000,0.0000,182
29,1.7213,0.0778,0.1643,0.2369,8.5283,0.0125,0.0090,0.0000,0.0000,0.0000,182
30,1.6697,0.0782,0.1591,0.2263,8.7166,0.0086,0.0071,0.0000,0.0000,0.0000,182
31,0.3874,0.0178,0.2092,0.3291,1.7422,0.5783,0.5389,0.0000,0.0000,0.0000,589
32,0.3297,0.0122,0.2078,0.3273,1.3897,0.5007,0.4797,0.0000,0.0000,0.0000,184
33,0.3362,0.0129,0.2067,0.3248,1.4061,0.4995,0.4858,0.0000,0.0000,0.0000,183
34,0.3182,0.0114,0.2042,0.3204,1.4428,0.4910,0.4706,0.0000,0.0000,0.0000,181
35,0.3134,0.0112,0.2014,0.3139,1.4745,0.4636,0.4582,0.0000,0.0000,0.0000,182
36,0.3009,0.0100,0.2007,0.3126,1.5175,0.4662,0.4543,0.0000,0.0000,0.0000,184
37,0.2891,0.0091,0.1983,0.3083,1.5368,0.4603,0.4485,0.0000,0.0000,0.0000,182
38,0.2870,0.0089,0.1975,0.3064,1.6081,0.4285,0.4176,0.0000,0.0000,0.0000,183
39,0.2691,0.0076,0.1932,0.2971,1.7547,0.3978,0.3938,0.0000,0.0000,0.0000,183
40,0.2593,0.0069,0.1899,0.2884,1.7307,0.4038,0.3836,0.0000,0.0000,0.0000,182
41,0.2525,0.0068,0.1842,0.2784,1.8417,0.3717,0.3555,0.0000,0.0000,0.0000,183
42,0.2437,0.0062,0.1811,0.2718,1.9795,0.3295,0.3114,0.0000,0.0000,0.0000,182
43,0.2371,0.0058,0.1793,0.2683,2.2781,0.2702,0.2697,0.0000,0.0000,0.0000,182
44,0.2314,0.0055,0.1761,0.2610,2.5638,0.2224,0.2250,0.0000,0.0000,0.0000,183
45,0.2287,0.0055,0.1735,0.2565,3.0506,0.1518,0.1518,0.0000,0.0000,0.0000,183
46,0.2255,0.0052,0.1732,0.2555,3.6947,0.1053,0.1096,0.0000,0.0000,0.0000,182
47,0.2216,0.0049,0.1719,0.2539,4.2506,0.0826,0.0885,0.0000,0.0000,0.0000,183
48,0.2191,0.0048,0.1703,0.2511,4.6633,0.0660,0.0699,0.0000,0.0000,0.0000,182
49,0.2173,0.0048,0.1685,0.2472,5.1732,0.0510,0.0472,0.0000,0.0000,0.0000,183
50,0.2160,0.0047,0.1689,0.2476,5.4076,0.0553,0.0556,0.0000,0.0000,0.0000,183
51,2299.5116,0.2300,0.1518,0.2131,1.6142,0.3704,0.3840,0.7048,99.7025,0.3308,300
52,2145.3700,0.3300,0.1408,0.1921,3.7447,0.0533,0.0578,0.9169,99.7602,0.3144,235
53,2111.2094,0.3249,0.1386,0.1878,4.6712,0.0329,0.0371,0.9064,99.7595,0.3111,235
54,2044.7095,0.3560,0.1339,0.1794,4.8439,0.0332,0.0400,0.9393,99.7670,0.3051,236
55,1979.5349,0.3847,0.1294,0.1698,5.7194,0.0115,0.0118,0.9560,99.7736,0.2989,235
56,1908.4501,0.3817,0.1247,0.1608,5.7801,0.0199,0.0205,0.9569,99.7739,0.2918,234
57,1860.7002,0.3910,0.1214,0.1546,6.1276,0.0164,0.0184,0.9642,99.7761,0.2872,235
58,1809.7979,0.3962,0.1180,0.1479,6.3343,0.0102,0.0100,0.9671,99.7766,0.2820,235
59,1794.9706,0.3989,0.1170,0.1464,6.7587,0.0083,0.0093,0.9729,99.7780,0.2803,233
60,1791.6020,0.3973,0.1168,0.1457,6.8114,0.0090,0.0078,0.9686,99.7783,0.2801,235
61,1751.7699,0.3949,0.1142,0.1407,7.0261,0.0108,0.0097,0.9693,99.7767,0.2765,234
62,1708.5877,0.3981,0.1113,0.1356,7.6079,0.0020,0.0024,0.9667,99.7771,0.2723,235
63,1678.2949,0.3984,0.1092,0.1314,6.8474,0.0199,0.0164,0.9700,99.7770,0.2693,235
64,1678.0104,0.4079,0.1091,0.1311,7.4857,0.0020,0.0024,0.9780,99.7788,0.2690,235
65,1672.9887,0.4055,0.1088,0.1308,7.5812,0.0048,0.0040,0.9751,99.7793,0.2684,236
66,1660.2639,0.4080,0.1080,0.1285,8.2653,0.0013,0.0016,0.9747,99.7795,0.2671,234
67,1644.9465,0.4018,0.1070,0.1277,8.7367,0.0009,0.0009,0.9744,99.7781,0.2655,236
68,1651.0536,0.4003,0.1074,0.1272,7.7896,0.0092,0.0086,0.9737,99.7777,0.2662,237
69,1643.2310,0.3904,0.1069,0.1272,7.7356,0.0090,0.0076,0.9667,99.7758,0.2654,238
70,1646.3324,0.3942,0.1071,0.1272,8.2483,0.0074,0.0077,0.9645,99.7767,0.2658,238
71,1615.8254,0.4097,0.1050,0.1223,8.5477,0.0010,0.0012,0.9727,99.7794,0.2629,236
72,1577.8974,0.4273,0.1023,0.1178,8.9809,0.0009,0.0008,0.9799,99.7826,0.2590,236
73,1553.9470,0.4227,0.1008,0.1152,8.3382,0.0066,0.0072,0.9823,99.7820,0.2564,237
74,1553.1657,0.4284,0.1007,0.1150,8.6552,0.0034,0.0028,0.9821,99.7835,0.2561,237
75,1535.4662,0.4232,0.0995,0.1127,8.7543,0.0059,0.0126,0.9802,99.7824,0.2546,237
76,1532.3795,0.4184,0.0994,0.1131,8.5115,0.0016,0.0018,0.9763,99.7814,0.2541,237
77,1537.7452,0.4292,0.0997,0.1128,9.1852,0.0008,0.0007,0.9868,99.7836,0.2547,237
78,1483.3814,0.4445,0.0959,0.1055,9.1801,0.0038,0.0048,0.9910,99.7865,0.2495,235
79,1463.2925,0.4527,0.0945,0.1037,9.4822,0.0006,0.0006,0.9978,99.7884,0.2474,235
80,1447.5659,0.4584,0.0934,0.1012,10.0176,0.0002,0.0002,1.0043,99.7885,0.2455,235
81,1440.7714,0.4524,0.0930,0.1008,9.4498,0.0025,0.0032,1.0068,99.7884,0.2450,234
