epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
1,2.5397,0.0814,0.2458,0.4008,1.7057,0.3107,0.3168,0.0000,0.0000,0.0000,635
2,2.3081,0.0707,0.2237,0.3692,3.1430,0.1044,0.0982,0.0000,0.0000,0.0000,467
3,2.2775,0.0654,0.2212,0.3621,3.7339,0.0782,0.0755,0.0000,0.0000,0.0000,465
4,2.2630,0.0642,0.2198,0.3592,4.2902,0.0554,0.0506,0.0000,0.0000,0.0000,464
5,2.2525,0.0640,0.2188,0.3568,4.7457,0.0450,0.0390,0.0000,0.0000,0.0000,469
6,2.2447,0.0694,0.2175,0.3535,4.8053,0.0533,0.0458,0.0000,0.0000,0.0000,468
7,2.2174,0.0709,0.2146,0.3467,5.4591,0.0304,0.0304,0.0000,0.0000,0.0000,467
8,2.2035,0.0695,0.2133,0.3435,5.4337,0.0388,0.0397,0.0000,0.0000,0.0000,463
9,2.1855,0.0691,0.2116,0.3383,6.0487,0.0213,0.0206,0.0000,0.0000,0.0000,457
10,2.1498,0.0713,0.2078,0.3298,6.0329,0.0306,0.0266,0.0000,0.0000,0.0000,461
11,2.1127,0.0727,0.2039,0.3209,6.4044,0.0204,0.0196,0.0000,0.0000,0.0000,465
12,2.0926,0.0731,0.2019,0.3164,6.6748,0.0159,0.0155,0.0000,0.0000,0.0000,467
13,2.0808,0.0721,0.2008,0.3149,6.4653,0.0238,0.0189,0.0000,0.0000,0.0000,470
14,2.0688,0.0715,0.1997,0.3105,6.9822,0.0101,0.0083,0.0000,0.0000,0.0000,461
15,2.0539,0.0703,0.1983,0.3082,7.1126,0.0150,0.0163,0.0000,0.0000,0.0000,459
16,2.0184,0.0718,0.1946,0.2994,7.3002,0.0115,0.0117,0.0000,0.0000,0.0000,466
17,1.9888,0.0720,0.1916,0.2938,7.5580,0.0115,0.0095,0.0000,0.0000,0.0000,454
18,1.9483,0.0747,0.1873,0.2845,7.3235,0.0181,0.0127,0.0000,0.0000,0.0000,459
19,1.9270,0.0740,0.1852,0.2807,7.7010,0.0092,0.0079,0.0000,0.0000,0.0000,477
