epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
1,2.5566,0.0597,0.2497,0.4215,1.4663,0.3803,0.3870,0.0000,0.0000,0.0000,426
2,2.3456,0.0466,0.2299,0.3869,2.7312,0.1458,0.1503,0.0000,0.0000,0.0000,188
3,2.3112,0.0463,0.2265,0.3778,3.2158,0.1182,0.1186,0.0000,0.0000,0.0000,188
4,2.2869,0.0460,0.2241,0.3715,3.8033,0.0865,0.0874,0.0000,0.0000,0.0000,189
5,2.2782,0.0444,0.2233,0.3705,4.1782,0.0749,0.0825,0.0000,0.0000,0.0000,188
6,2.2715,0.0400,0.2231,0.3709,4.3459,0.0768,0.0771,0.0000,0.0000,0.0000,188
7,2.2651,0.0399,0.2225,0.3679,4.6963,0.0608,0.0602,0.0000,0.0000,0.0000,187
8,2.2567,0.0374,0.2219,0.3663,4.7688,0.0719,0.0712,0.0000,0.0000,0.0000,189
9,2.2488,0.0376,0.2211,0.3641,5.1902,0.0495,0.0565,0.0000,0.0000,0.0000,188
10,2.2471,0.0360,0.2211,0.3653,5.0649,0.0683,0.0623,0.0000,0.0000,0.0000,188
11,2.2395,0.0366,0.2202,0.3634,5.4422,0.0513,0.0545,0.0000,0.0000,0.0000,189
12,2.2227,0.0388,0.2183,0.3583,5.8694,0.0413,0.0372,0.0000,0.0000,0.0000,187
13,2.2020,0.0404,0.2161,0.3542,5.9993,0.0371,0.0388,0.0000,0.0000,0.0000,187
14,2.1867,0.0389,0.2147,0.3503,6.1426,0.0350,0.0360,0.0000,0.0000,0.0000,188
15,2.1606,0.0395,0.2121,0.3421,5.8953,0.0577,0.0544,0.0000,0.0000,0.0000,187
16,2.1359,0.0389,0.2096,0.3361,6.5059,0.0227,0.0238,0.0000,0.0000,0.0000,187
17,2.1133,0.0403,0.2072,0.3310,6.5212,0.0305,0.0299,0.0000,0.0000,0.0000,189
18,2.0887,0.0433,0.2045,0.3232,6.7862,0.0216,0.0196,0.0000,0.0000,0.0000,188
19,2.0517,0.0461,0.2005,0.3142,6.5880,0.0299,0.0304,0.0000,0.0000,0.0000,186
20,2.0126,0.0479,0.1964,0.3061,7.0264,0.0238,0.0232,0.0000,0.0000,0.0000,188
21,1.9849,0.0521,0.1932,0.2988,7.2338,0.0157,0.0157,0.0000,0.0000,0.0000,187
22,1.9610,0.0507,0.1909,0.2947,8.1375,0.0076,0.0081,0.0000,0.0000,0.0000,187
23,1.9411,0.0492,0.1891,0.2894,7.7926,0.0133,0.0126,0.0000,0.0000,0.0000,189
24,1.9265,0.0484,0.1877,0.2871,8.1800,0.0109,0.0092,0.0000,0.0000,0.0000,188
25,1.9032,0.0489,0.1854,0.2813,7.7252,0.0222,0.0267,0.0000,0.0000,0.0000,186
26,1.8687,0.0476,0.1820,0.2751,7.4987,0.0204,0.0159,0.0000,0.0000,0.0000,189
27,1.8474,0.0506,0.1796,0.2711,7.8919,0.0141,0.0117,0.0000,0.0000,0.0000,187
28,1.8174,0.0490,0.1768,0.2634,7.6813,0.0190,0.0219,0.0000,0.0000,0.0000,188
29,1.7656,0.0524,0.1712,0.2521,8.2684,0.0117,0.0109,0.0000,0.0000,0.0000,187
30,1.7325,0.0503,0.1681,0.2461,8.0982,0.0105,0.0115,0.0000,0.0000,0.0000,186
31,0.3595,0.0142,0.2176,0.3478,2.0073,0.5509,0.5415,0.0000,0.0000,0.0000,472
32,0.3473,0.0127,0.2202,0.3569,1.4451,0.5095,0.5223,0.0000,0.0000,0.0000,186
33,0.3325,0.0114,0.2184,0.3522,1.4959,0.4943,0.4906,0.0000,0.0000,0.0000,188
34,0.3356,0.0118,0.2174,0.3505,1.5309,0.4751,0.4769,0.0000,0.0000,0.0000,187
35,0.3147,0.0099,0.2160,0.3472,1.6529,0.4404,0.4385,0.0000,0.0000,0.0000,187
36,0.3077,0.0093,0.2144,0.3432,1.7471,0.4061,0.4182,0.0000,0.0000,0.0000,188
37,0.2930,0.0082,0.2111,0.3350,2.0212,0.3413,0.3623,0.0000,0.0000,0.0000,187
38,0.2820,0.0072,0.2098,0.3327,2.2555,0.2981,0.3078,0.0000,0.0000,0.0000,187
39,0.2708,0.0064,0.2068,0.3250,2.3734,0.3047,0.3169,0.0000,0.0000,0.0000,187
40,0.2618,0.0057,0.2043,0.3191,2.7070,0.2326,0.2440,0.0000,0.0000,0.0000,187
41,0.2592,0.0057,0.2016,0.3136,2.9815,0.2206,0.2297,0.0000,0.0000,0.0000,187
42,0.2512,0.0051,0.1997,0.3101,2.9803,0.2201,0.2410,0.0000,0.0000,0.0000,187
43,0.2479,0.0051,0.1964,0.3036,3.1467,0.2250,0.2206,0.0000,0.0000,0.0000,187
44,0.2397,0.0044,0.1952,0.3005,3.1257,0.2424,0.2371,0.0000,0.0000,0.0000,188
45,0.2400,0.0046,0.1940,0.2975,3.2562,0.1886,0.1914,0.0000,0.0000,0.0000,187
46,0.2344,0.0044,0.1901,0.2897,3.4103,0.1764,0.1802,0.0000,0.0000,0.0000,186
47,0.2301,0.0041,0.1884,0.2857,3.3601,0.1776,0.1828,0.0000,0.0000,0.0000,187
48,0.2265,0.0040,0.1865,0.2828,3.1025,0.2204,0.2301,0.0000,0.0000,0.0000,187
49,0.2158,0.0035,0.1805,0.2703,3.3062,0.2104,0.2140,0.0000,0.0000,0.0000,186
50,0.2159,0.0038,0.1779,0.2647,3.0790,0.2604,0.2775,0.0000,0.0000,0.0000,187
51,2520.1215,0.0291,0.1678,0.2454,1.1318,0.5000,0.5094,0.1786,99.5559,0.3558,301
52,2321.4761,0.0499,0.1544,0.2183,3.1507,0.0935,0.0964,0.3200,99.6043,0.3358,239
53,2197.7494,0.0660,0.1461,0.2023,4.3803,0.0358,0.0372,0.3722,99.6295,0.3226,238
54,2168.8328,0.0727,0.1441,0.1981,5.0830,0.0271,0.0276,0.3908,99.6388,0.3196,239
55,2136.5453,0.0743,0.1419,0.1946,5.6864,0.0179,0.0156,0.3945,99.6412,0.3162,240
56,2121.1209,0.0766,0.1409,0.1929,5.9045,0.0163,0.0178,0.3965,99.6439,0.3144,238
57,2103.9557,0.0794,0.1397,0.1911,6.1187,0.0231,0.0179,0.4073,99.6481,0.3126,239
58,2065.7211,0.0846,0.1372,0.1864,6.6394,0.0120,0.0112,0.4143,99.6535,0.3094,239
59,2017.7089,0.0898,0.1339,0.1792,6.7823,0.0180,0.0154,0.4256,99.6594,0.3051,239
60,1982.1755,0.0909,0.1315,0.1753,6.9845,0.0167,0.0161,0.4259,99.6606,0.3007,238
61,1976.5352,0.0915,0.1312,0.1748,7.5585,0.0066,0.0062,0.4257,99.6611,0.3002,240
62,1960.4698,0.0924,0.1301,0.1725,8.3587,0.0024,0.0019,0.4272,99.6626,0.2987,240
63,1934.3747,0.1018,0.1283,0.1700,8.5722,0.0027,0.0031,0.4430,99.6719,0.2962,239
64,1867.9615,0.1135,0.1238,0.1603,8.1484,0.0042,0.0048,0.4667,99.6819,0.2901,239
65,1854.8644,0.1274,0.1228,0.1586,8.9684,0.0005,0.0005,0.4939,99.6924,0.2883,239
66,1787.0094,0.1391,0.1182,0.1497,9.2359,0.0009,0.0010,0.5127,99.6994,0.2820,237
67,1758.6736,0.1428,0.1163,0.1453,8.9962,0.0027,0.0030,0.5174,99.7012,0.2790,240
68,1700.3314,0.1480,0.1124,0.1376,8.9706,0.0022,0.0028,0.5216,99.7048,0.2736,238
69,1681.2135,0.1483,0.1111,0.1346,9.6820,0.0003,0.0004,0.5235,99.7051,0.2716,238
70,1638.8635,0.1532,0.1082,0.1297,8.5135,0.0073,0.0073,0.5282,99.7086,0.2678,240
71,1589.0582,0.1591,0.1049,0.1236,9.3687,0.0005,0.0005,0.5377,99.7117,0.2626,239
72,1569.0797,0.1539,0.1036,0.1218,9.8580,0.0002,0.0002,0.5248,99.7090,0.2605,239
73,1568.6286,0.1513,0.1036,0.1217,9.8734,0.0024,0.0036,0.5215,99.7081,0.2604,240
74,1563.7251,0.1529,0.1032,0.1211,9.0280,0.0040,0.0037,0.5208,99.7090,0.2600,239
75,1551.4552,0.1549,0.1024,0.1197,9.7654,0.0021,0.0022,0.5299,99.7101,0.2585,238
76,1555.0521,0.1532,0.1026,0.1198,10.3759,0.0002,0.0003,0.5159,99.7096,0.2588,238
77,1541.7379,0.1557,0.1017,0.1181,10.2601,0.0007,0.0004,0.5232,99.7105,0.2573,238
78,1533.9924,0.1544,0.1012,0.1177,10.6023,0.0001,0.0002,0.5198,99.7098,0.2562,239
79,1531.7200,0.1572,0.1011,0.1177,9.8602,0.0067,0.0061,0.5237,99.7115,0.2563,238
80,1531.3832,0.1545,0.1011,0.1174,10.0270,0.0002,0.0003,0.5183,99.7102,0.2560,238
81,1526.0090,0.1540,0.1007,0.1169,10.5246,0.0001,0.0002,0.5201,99.7100,0.2556,239
82,1540.2549,0.1495,0.1017,0.1181,10.8959,0.0001,0.0003,0.5151,99.7073,0.2569,240
83,1531.4101,0.1533,0.1011,0.1173,11.1575,0.0001,0.0001,0.5171,99.7098,0.2560,240
84,1527.7595,0.1509,0.1008,0.1167,10.3788,0.0024,0.0018,0.5168,99.7085,0.2558,238
85,1526.0341,0.1519,0.1007,0.1163,10.9234,0.0001,0.0002,0.5160,99.7093,0.2557,238
86,1510.0935,0.1553,0.0996,0.1149,11.4684,0.0000,0.0001,0.5226,99.7106,0.2538,238
87,1517.5564,0.1531,0.1001,0.1158,11.6133,0.0000,0.0000,0.5220,99.7102,0.2547,239
88,1507.6912,0.1503,0.0995,0.1144,11.8714,0.0000,0.0000,0.5129,99.7084,0.2537,239
89,1516.5742,0.1466,0.1001,0.1157,11.1711,0.0014,0.0011,0.5091,99.7063,0.2545,239
90,1507.9086,0.1464,0.0996,0.1146,11.3288,0.0001,0.0001,0.5089,99.7060,0.2538,239
91,1499.2855,0.1487,0.0990,0.1134,11.9815,0.0000,0.0001,0.5106,99.7078,0.2529,239
92,1502.2183,0.1466,0.0992,0.1144,11.8085,0.0000,0.0000,0.5017,99.7064,0.2531,239
93,1505.0770,0.1469,0.0994,0.1149,12.0293,0.0000,0.0000,0.5067,99.7061,0.2532,239
94,1498.2157,0.1493,0.0989,0.1140,12.4081,0.0000,0.0000,0.5101,99.7080,0.2525,238
95,1496.8342,0.1474,0.0988,0.1139,12.7635,0.0000,0.0000,0.5124,99.7070,0.2522,239
96,1493.1642,0.1434,0.0986,0.1132,12.8888,0.0000,0.0000,0.5057,99.7045,0.2520,240
97,1491.9702,0.1446,0.0985,0.1134,12.9917,0.0000,0.0000,0.5022,99.7049,0.2520,239
98,1485.1280,0.1616,0.0979,0.1115,13.2421,0.0000,0.0000,0.5379,99.7136,0.2514,240
99,1434.3588,0.1806,0.0944,0.1045,13.6687,0.0000,0.0000,0.5678,99.7226,0.2464,239
100,1439.6095,0.1797,0.0948,0.1056,11.7911,0.0024,0.0018,0.5672,99.7222,0.2469,239
101,0.1435,0.1802,0.1046,0.1226,10.7587,0.0002,0.0002,0.5627,99.7232,0.2609,651
102,0.1404,0.1741,0.1043,0.1225,11.5299,0.0000,0.0000,0.5532,99.7204,0.2606,246
103,0.1374,0.1689,0.1035,0.1209,11.8969,0.0000,0.0000,0.5436,99.7178,0.2595,246
104,0.1323,0.1592,0.1029,0.1197,12.1962,0.0000,0.0000,0.5218,99.7130,0.2587,245
105,0.1278,0.1498,0.1033,0.1206,12.5293,0.0000,0.0000,0.5081,99.7080,0.2594,246
106,0.1212,0.1377,0.1024,0.1194,11.4340,0.0003,0.0003,0.4825,99.7014,0.2581,246
107,0.1158,0.1272,0.1020,0.1185,12.1361,0.0000,0.0000,0.4632,99.6950,0.2577,245
108,0.1100,0.1156,0.1021,0.1187,11.7576,0.0004,0.0002,0.4348,99.6866,0.2581,246
109,0.1047,0.1052,0.1017,0.1178,12.3757,0.0000,0.0000,0.4097,99.6791,0.2579,246
110,0.1005,0.0956,0.1029,0.1194,12.7387,0.0000,0.0000,0.3916,99.6712,0.2597,245
111,0.0961,0.0853,0.1042,0.1230,12.8541,0.0000,0.0000,0.3659,99.6616,0.2614,246
112,0.0920,0.0761,0.1052,0.1240,13.2301,0.0000,0.0000,0.3475,99.6519,0.2625,245
113,0.0892,0.0679,0.1081,0.1289,12.4143,0.0070,0.0044,0.3250,99.6421,0.2667,245
114,0.0872,0.0601,0.1119,0.1358,12.4902,0.0012,0.0033,0.3055,99.6316,0.2719,245
115,0.0855,0.0548,0.1137,0.1399,12.3802,0.0001,0.0001,0.2899,99.6232,0.2743,246
116,0.0838,0.0489,0.1163,0.1444,12.2570,0.0012,0.0014,0.2764,99.6131,0.2778,245
117,0.0819,0.0430,0.1183,0.1472,12.3706,0.0008,0.0009,0.2537,99.6015,0.2808,247
118,0.0808,0.0392,0.1202,0.1516,11.1808,0.0056,0.0087,0.2403,99.5934,0.2834,245
119,0.0791,0.0350,0.1208,0.1522,11.5027,0.0076,0.0021,0.2264,99.5836,0.2843,245
120,0.0780,0.0329,0.1209,0.1532,10.5605,0.0115,0.0127,0.2196,99.5776,0.2846,246
121,0.0766,0.0301,0.1212,0.1533,9.7625,0.0057,0.0061,0.2124,99.5696,0.2853,245
122,0.0755,0.0275,0.1214,0.1547,10.5279,0.0095,0.0080,0.2024,99.5615,0.2853,245
123,0.0745,0.0258,0.1212,0.1541,9.7478,0.0190,0.0105,0.1969,99.5552,0.2852,246
124,0.0740,0.0232,0.1227,0.1571,10.0539,0.0069,0.0049,0.1847,99.5452,0.2875,245
125,0.0727,0.0220,0.1214,0.1543,9.7254,0.0107,0.0076,0.1823,99.5404,0.2856,246
126,0.0719,0.0204,0.1216,0.1552,9.8085,0.0067,0.0073,0.1755,99.5327,0.2862,246
127,0.0709,0.0191,0.1209,0.1531,9.0636,0.0200,0.0275,0.1683,99.5257,0.2853,246
128,0.0705,0.0178,0.1215,0.1543,9.3408,0.0260,0.0268,0.1642,99.5193,0.2862,245
129,0.0704,0.0165,0.1227,0.1567,7.9406,0.0267,0.0302,0.1573,99.5103,0.2882,247
130,0.0691,0.0148,0.1219,0.1551,7.8969,0.0151,0.0144,0.1443,99.5017,0.2868,246
131,0.0682,0.0128,0.1220,0.1551,7.8395,0.0216,0.0240,0.1366,99.4909,0.2872,246
132,0.0675,0.0119,0.1215,0.1543,7.7832,0.0106,0.0105,0.1262,99.4821,0.2866,245
133,0.0658,0.0111,0.1190,0.1490,7.9707,0.0250,0.0215,0.1266,99.4790,0.2829,245
134,0.0651,0.0103,0.1184,0.1492,7.4336,0.0149,0.0147,0.1231,99.4725,0.2821,247
135,0.0641,0.0096,0.1170,0.1458,7.7024,0.0175,0.0156,0.1185,99.4680,0.2798,246
136,0.0641,0.0094,0.1173,0.1455,7.7253,0.0236,0.0296,0.1164,99.4637,0.2803,245
137,0.0636,0.0086,0.1172,0.1468,7.1541,0.0177,0.0241,0.1119,99.4574,0.2803,246
138,0.0631,0.0082,0.1166,0.1447,7.1833,0.0313,0.0285,0.1081,99.4524,0.2797,245
139,0.0631,0.0079,0.1170,0.1455,7.0441,0.0208,0.0222,0.1069,99.4496,0.2802,246
140,0.0629,0.0077,0.1167,0.1449,7.2697,0.0251,0.0273,0.1054,99.4475,0.2796,245
141,0.0624,0.0075,0.1158,0.1439,7.1047,0.0178,0.0141,0.1031,99.4446,0.2784,246
142,0.0614,0.0075,0.1139,0.1403,6.8233,0.0134,0.0199,0.1052,99.4456,0.2757,246
143,0.0619,0.0072,0.1152,0.1425,7.2161,0.0115,0.0079,0.1008,99.4413,0.2775,245
144,0.0618,0.0073,0.1148,0.1418,7.6943,0.0063,0.0058,0.1017,99.4418,0.2768,246
145,0.0615,0.0067,0.1148,0.1424,7.7933,0.0087,0.0094,0.0969,99.4356,0.2767,246
146,0.0614,0.0069,0.1144,0.1408,7.7656,0.0066,0.0064,0.0985,99.4369,0.2764,245
147,0.0610,0.0067,0.1138,0.1399,7.3614,0.0188,0.0229,0.0974,99.4349,0.2757,245
148,0.0600,0.0068,0.1116,0.1354,7.7493,0.0048,0.0049,0.1013,99.4382,0.2724,245
149,0.0598,0.0070,0.1109,0.1338,8.1013,0.0034,0.0031,0.1042,99.4396,0.2714,244
150,0.0594,0.0068,0.1104,0.1334,7.1705,0.0162,0.0145,0.1043,99.4379,0.2707,246
151,0.0593,0.0068,0.1102,0.1320,8.0810,0.0111,0.0087,0.1021,99.4366,0.2702,312
152,0.0587,0.0068,0.1090,0.1306,7.5087,0.0165,0.0165,0.1018,99.4359,0.2684,245
153,0.0595,0.0067,0.1107,0.1336,7.9676,0.0129,0.0112,0.1015,99.4348,0.2710,246
154,0.0591,0.0066,0.1098,0.1311,8.5541,0.0012,0.0018,0.1018,99.4339,0.2696,245
155,0.0583,0.0066,0.1080,0.1289,9.3169,0.0006,0.0006,0.1013,99.4347,0.2671,244
156,0.0586,0.0062,0.1090,0.1297,9.3614,0.0019,0.0015,0.0970,99.4299,0.2686,245
157,0.0583,0.0062,0.1085,0.1294,9.5377,0.0014,0.0017,0.0980,99.4295,0.2676,244
158,0.0583,0.0063,0.1086,0.1292,8.6937,0.0076,0.0091,0.0988,99.4306,0.2678,245
159,0.0583,0.0062,0.1084,0.1293,9.6518,0.0008,0.0005,0.0989,99.4295,0.2672,245
160,0.0582,0.0060,0.1086,0.1294,9.3799,0.0012,0.0011,0.0946,99.4264,0.2676,245
161,0.0582,0.0061,0.1085,0.1296,9.0289,0.0031,0.0032,0.0965,99.4272,0.2676,244
162,0.0578,0.0061,0.1078,0.1282,8.9778,0.0083,0.0085,0.0959,99.4270,0.2667,244
163,0.0579,0.0059,0.1082,0.1288,9.1212,0.0004,0.0003,0.0938,99.4248,0.2675,244
164,0.0579,0.0058,0.1081,0.1295,9.6462,0.0004,0.0004,0.0926,99.4232,0.2668,245
165,0.0580,0.0056,0.1083,0.1295,10.1429,0.0016,0.0005,0.0914,99.4207,0.2675,245
166,0.0576,0.0056,0.1079,0.1280,8.2537,0.0150,0.0190,0.0916,99.4194,0.2669,244
167,0.0577,0.0057,0.1081,0.1284,8.2560,0.0225,0.0260,0.0916,99.4199,0.2673,244
168,0.0572,0.0053,0.1074,0.1276,8.2505,0.0137,0.0191,0.0875,99.4166,0.2662,244
169,0.0581,0.0054,0.1091,0.1301,8.0340,0.0155,0.0164,0.0881,99.4158,0.2689,245
170,0.0577,0.0051,0.1087,0.1296,8.3598,0.0088,0.0110,0.0839,99.4112,0.2684,245
171,0.0573,0.0054,0.1076,0.1272,8.5080,0.0008,0.0006,0.0874,99.4164,0.2666,243
172,0.0578,0.0053,0.1084,0.1282,9.0900,0.0057,0.0055,0.0862,99.4146,0.2674,241
173,0.0571,0.0052,0.1072,0.1263,9.6213,0.0005,0.0006,0.0835,99.4123,0.2658,240
174,0.0572,0.0051,0.1075,0.1277,9.4390,0.0018,0.0013,0.0836,99.4113,0.2665,240
